id,origin_zip,destination_zip,equipment_type,origin_city,origin_state,destination_city,destination_state,rate_source,duration,target_rate,avg_rate,max_rate,miles,fuel_surcharge,created_userid,created_at,cache_date,updated_at,updated_userid
1686,31401,98101,2,Savannah,GA,Seattle,WA,Rate source1,3,5022.77,5126.4,5318.95,2912.83,0,,09:26.2,30:00.0,09:26.2,
1687,17201,70112,1,Aqua,PA,New Orleans,LA,Rate source1,3,2167.74,2250.36,2321.16,1084.99,0,,09:37.2,30:00.0,09:37.2,
1688,17756,44139,2,Clarkstown,PA,Cleveland,OH,Rate source1,3,682.31,765.63,813.85,286.18,0,,06:30.0,30:00.0,06:30.0,
1689,18101,27828,1,Allentown,PA,Farmville,NC,Rate source1,3,1065.91,1088.39,1146.79,427.41,0,,06:38.0,30:00.0,06:38.0,
1690,61101,77301,2,Rockford,IL,Beach,TX,Rate source1,3,1941.64,2052.6,2150.36,1129.71,0,,06:57.2,30:00.0,06:57.2,
1691,90001,92335,2,Firestone Park,CA,Fontana,CA,Rate source1,3,332.06,377.8,445.81,83.35,0,,07:17.5,30:00.0,07:17.5,
1692,52001,16662,2,Center Grove,IA,Martinsburg,PA,Rate source1,3,1685.98,1779.9,1903.15,741.79,0,,07:33.8,30:00.0,07:33.8,
1693,97601,94536,2,Kingsley Field,OR,Fremont,CA,Rate source1,3,1002.95,1110.89,1303.61,402.49,0,,07:56.0,30:00.0,07:56.0,
1694,78040,54452,1,Laredo,TX,Corning,WI,Rate source1,3,1876.12,1948.3,2029.87,1509.8,0,,08:25.2,30:00.0,08:25.2,
1695,92376,85701,2,Rialto,CA,Tucson,AZ,Rate source1,3,1088.82,1142.42,1213.73,451.13,0,,08:30.7,30:00.0,08:30.7,
1696,21201,18101,2,Baltimore,MD,Allentown,PA,Rate source1,3,589.21,622.15,718.39,136.72,0,,08:51.2,30:00.0,08:51.2,
1697,92376,85701,1,Rialto,CA,Tucson,AZ,Rate source1,3,1121.4,1296.57,2080.61,451.13,0,,08:54.0,30:00.0,08:54.0,
1698,08102,27030,1,Camden,NJ,Mount Airy,NC,Rate source1,3,1124.48,1199.9,1254.31,491.37,0,,09:02.2,30:00.0,09:02.2,
1699,72315,75006,2,Blytheville,AR,Carrollton,TX,Rate source1,3,1151.08,1199.39,1274.76,442.05,0,,09:02.4,30:00.0,09:02.4,
